Part,Description,Bin,Stock Max,ROP,On Hand,On Order,Qty Sugg,Status,Avg Month,Hi Mth,Lo Mth
222222G600,RETAINER-VALVE SPRING              ,C3/F01,0,0,31,0,0,Non,0,0,0
2222322001,LOCK-VALVE SPRING RETAINER         ,C3/G08,0,0,2,0,0,Non,0,0,0
2222423500,SEAL-VALVE STEM                    ,C3/F23,0,0,40,0,0,Non,0,0,0
222242B011,SEAL-VALVE STEM INLET              ,C3/F32,0,0,8,0,0,Non,0,0,0
222242G000,SEAL-VALVE STEM                    ,C3/F13,0,0,80,0,0,Non,0,0,0
222243CAB0,SEAL-VALVE STEM                    ,C3/F02,0,0,12,0,0,Non,0,0,0
222263CCA0,TAPPET                             ,C3/F22,0,0,10,0,0,Non,0,0,0
223113CGA5,GASKET-CYLINDER HEAD LH            ,C3/L,0,0,1,0,0,Non,0,0,0
223213CGA0,BOLT-CYLINDER HEAD                 ,B6/G12,0,0,4,0,0,Non,0,0,0
2232223010,WASHER-CYLINDER HEAD BOLT          ,B1/F18,0,0,5,0,0,Non,0,0,0
223222E000,WASHER-CYLINDER HEAD BOLT          ,B1/G06,0,0,6,0,0,Non,0,0,0
224003C000QQH,SERVICE KIT                        ,A1/I02,1,1,1,0,1,Actv,0.17,1,0
224412E210,GASKET-ROCKER COVER                ,C3/K,0,0,1,0,1,Non,0.17,1,0
224412G000,GASKET-ROCKER COVER                ,C3/K,0,0,1,0,0,Non,0,0,0
224412G670,GASKET-ROCKER COVER                ,C3/K,0,0,1,0,0,Non,0,0,0
224412GGB0,GASKET-ROCKER COVER                ,C3/K00,1,1,1,0,1,Actv,1.33,6,0
2244137110,GASKET-ROCKER COVER                ,C3/I11,0,0,2,0,0,Non,0,0,0
224413C110,"GASKET-ROCKER COVER,RH             ",C3/K,0,0,1,0,0,Non,0,0,0
224422GGB0,GASKET-FUEL PUMP                   ,B6/G04,1,1,1,0,1,Actv,1.33,6,0
2244323001,SEAL-OIL                           ,B1/J05,0,0,1,0,0,Non,0,0,0
224432B600,GASKET-ROCKER COVER                ,C3/I10,0,0,1,0,0,Non,0,0,0
224432E000,SEAL-OIL                           ,B1/J01,4,4,4,0,4,Actv,0.67,4,0
224533C120,"GASKET-ROCKER COVER,LH             ",C3/K,0,0,1,0,0,Non,0,0,0
224533C120QQH,"GASKET-ROCKER COVER,LH             ",A1/I05,1,1,0,0,0,Actv,0.17,1,0
2312125050,"SPROCKET-CRKSHF BSM,27T            ",C3/F35,0,0,1,0,0,Non,0,0,0
2312125060,SPROCKET-CRANKSHAFT                ,C3/F34,0,0,1,0,0,Non,0,0,0
231242B020,PULLEY-DAMPER                      ,C3/E00,0,0,1,0,0,Non,0,0,0
231242E000,PULLEY-DAMPER                      ,C3/E00,0,0,1,0,0,Non,0,0,0
231242E003,PULLEY-DAMPER                      ,C2/D00,0,0,1,0,0,Non,0,0,0
2312522020,KEY-CRANKSHAFT                     ,C3/F29,1,1,0,2,0,Actv,0.5,2,0
2312525000,KEY-CRANKSHAFT                     ,C3/F11,0,0,5,0,0,Non,0,0,0
231272E000,BOLT-CRANKSHAFT                    ,C3/F30,0,0,2,0,0,Non,0,0,0
231282E000,PIN-DOWEL                          ,C3/F03,0,0,4,0,0,Non,0,0,0
2431239800,BELT-VALVE TIMING                  ,A4/D00,0,0,1,0,0,Non,0,0,0
243492E000,BOLT-T/CHAIN                       ,B1/G03,0,0,1,0,1,Non,0,0,0
2435025000,CVVT ASSY-INTAKE                   ,C3/E00,0,0,1,0,0,Non,0,0,0
243502GGB0,CVVT ASSY-INTAKE                   ,B6/K00,0,0,1,0,0,Non,0,0,0
243512GGB1,PLUG                               ,B1/J21,0,0,1,0,0,Non,0,0,0
2435625000,FILTER ASSY-OCV                    ,C3/F05,0,0,1,0,0,Non,0,0,0
2436125000,BOLT-CVVT                          ,B6/F15,1,1,3,0,3,Actv,0.33,1,0
243712G010,BRG-EX CAM/SHF UPR STD             ,C3/F17,0,0,5,0,0,Non,0,0,0
243712G020,BRG-EX CAM/SHF UPR STD             ,C3/F14,0,0,1,0,0,Non,0,0,0
243722G021,BRG-EX CAM/SHF LWR STD             ,C3/F16,0,0,1,0,0,Non,0,0,0
243752G500,OIL FLOW CONTROL VALVE-EXH         ,C4/C00,0,0,1,0,1,Non,0.17,1,0
2441023400,TENSIONER ASSY-VLV TIMING BELT     ,C3/F38,0,0,1,0,0,Non,0,0,0
244712G050,GUIDE-OIL PUMP                     ,C3/F28,0,0,1,0,0,Non,0,0,0
246102E000,ADJUSTER ASSY-ROCKER ARM LASH      ,C3/G01,0,0,1,0,0,Non,0,0,0
2484037120,ARM ASSY-TENSIONER                 ,C3/E00,0,0,1,0,0,Non,0,0,0
251002B700,PUMP ASSY-COOLANT                  ,B6/K00,0,0,1,0,0,Non,0,0,0
251002S000,PUMP ASSY-COOLANT                  ,C2/F00,0,0,1,0,1,Non,0.17,1,0
2510038200,PUMP ASSY-COOLANT                  ,B6/K00,0,0,1,0,0,Non,0,0,0
2510039012,PUMP ASSY-COOLANT                  ,B6/K00,0,0,1,0,0,Non,0,0,0
251242G500,GASKET-WATER PUMP                  ,C3/I04,0,0,2,0,0,Non,0,0,0
2512439010,GASKET-WATER PUMP                  ,C3/L,0,0,1,0,0,Non,0,0,0
251243C200,BOLT-FLANGE                        ,B1/G08,0,0,4,0,0,Non,0,0,0
2513025002,GASKET-WATER PUMP                  ,C3/I20,0,0,2,0,0,Non,0,0,0
251302S000,GASKET-WATER PUMP                  ,C3/G13,0,0,1,0,0,Non,0,0,0
252122E300,RIBBED BELT-V                      ,C3/E00,0,0,1,0,1,Non,0.17,1,0
252122G100,RIBBED BELT-V                      ,A4/D00,0,0,1,0,0,Non,0,0,0
252122S000,RIBBED BELT-V                      ,C2/F00,0,0,1,0,0,Non,0,0,0
252122S050,BELT-WATER PUMP                    ,C2/F00,0,0,1,0,0,Non,0,0,0
252312E000,FAN-COOLING                        ,C2/B00,0,0,1,0,0,Non,0,0,0
252373F000,WASHER                             ,B1/G11,0,0,1,0,0,Non,0,0,0
2531838000,PLUG-RADIATOR DRAIN                ,B1/H15,0,0,1,0,0,Non,0,0,0
253852E000,RESISTOR                           ,A4/K,0,0,1,0,0,Non,0,0,0
253854R000QQH,RESISTOR                           ,A1/G04,0,0,1,0,1,Non,0,0,0
253953F000,BOLT                               ,B1/I27,0,0,3,0,0,Non,0,0,0
254522B000,GASKET-HEATER PIPE                 ,C3/J26,0,0,1,0,0,Non,0,0,0
2546221010,O-RING                             ,A4/I13,0,0,30,0,0,Non,0,0,0
254622S000,O-RING                             ,B1/I17,1,1,2,0,2,Actv,0.33,1,0
254622S500,O-RING                             ,A4/I07,0,0,9,0,0,Non,0,0,0
2546235504,O-RING                             ,A4/I03,0,0,1,0,0,Non,0,0,0
